Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
XESLAK,Co,6,[Co]1(OP(O[Co]O[Co]OP(O1)[O])[O])OP=O.O.[H].O.[H].O.[H],N1(CCN([CH2])CC1)[CH2],9,6,[Co].O.[H],[O]P(=O)(CN1CCN(CC1)CP(=O)([O])[O])[O],3,0.132,437.794,567.042,9.14429,9.7714,9.7714
ZOGBII,In,8,[In](O[C]=O)(O[C]=O)O[C]=O.[O][C]=O,[C]1=CC=[C]N=C1,6,3,[In],C(=O)(c1cnc(cc1)C(=O)[O])[O],1,0.7936,808.313,8967.31,42.63721,43.58988,43.548
FIZXUK,Zn,6,[Zn](O[C]=O)O[C]=O,n1ccc(cc1)c1ccc(cc1)C1=CC=[C]C=C1,4,2,[Zn],n1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O],1,0.5996,1429.46,4924.9,10.16812,12.38629,12.38629
YUHNAS,Cu,6,Br[Cu]1[Cu]([Cu](Br)[Cu]1Br)Br.[Cu].[Cu].[Cu].[Cu],N1=C(N=C(c2ccc(C)cc2)[N]1)c1ccc(cc1)C,12,3,Br[Cu]1[Cu]([Cu](Br)[Cu]1Br)Br.[Cu].[Cu].[Cu].[Cu],N1=C(N=C(c2ccc(C)cc2)[N]1)c1ccc(cc1)C,0,0,0,0,1.56709,2.70728,2.70728
MUYKOH,Gd,13,[Gd]12(O[C]O[Gd](O[C]O1)O[C]O2)(O[C]=O)(O[C]=O)O[C]=O.O.O,[CH2]C([CH2])[CH2],6,3,[Gd][Gd].O.O,[O]C(=O)CC(CC(=O)[O])CC(=O)[O],0,0,0,0,1.40164,3.07461,3.07376
FONQOP01,Cd,8,[Cd]12(O[C]O1)O[C]O2,[C]1=CN=CC=C1,4,2,[Cd],[O]C(=O)c1cnccc1,1,0.0476,190.914,56.78,4.06453,5.69906,5.64866
AKECEA,Ag,3,[Ag]ON(=O)=O,N#Cc1ccc(cc1)CN1CCC(CC1)C1CCN(CC1)Cc1ccc(cc1)C#N,2,4,[Ag]ON(=O)=O,N#Cc1ccc(cc1)CN1CCC(CC1)C1CCN(CC1)Cc1ccc(cc1)C#N,1,0.5852,672.126,2169.73,11.58829,12.75203,12.68388
LATPII,Co,6,[Co](F)(F)F.[Fe]F.[Co].F[Fe](F)(F)(F)(F)F.[Fe](F)F.F[Co](F)F.[Fe](F)(F)F.F[Co]F,n1nc[nH]c1,8,2,[Co](F)(F)F.[Fe]F.[Co].F[Fe](F)(F)(F)(F)F.[Fe](F)F.F[Co](F)F.[Fe](F)(F)F.F[Co]F,n1nc[nH]c1,0,0,0,0,0.6611,1.16586,1.16586
FIHBUV,Mn,6,[Mn]123([O])O[C]O[Mn]45(O[C]O[Mn]6(O[C]O1)([O])O[C]O[Mn]1(O[C]O[Mn](O[C]O[Mn](O[C]O4)(O[C]O2)(O[C]O1)[O])([O])(O[C]O6)O[C]O3)(O[C]O5)[O])[O],[C]1[NH](C=CC=[C]1)CC1=CC=[C]C=C1,18,3,[Mn],O=C1[NH](C=CC=C1C(=O)[O])Cc1ccc(C(=O)[O])cc1,0,0,0,0,1.27733,6.98167,6.98167
XUHLET,U,10,[U]([O])([O])(O[C][O])(O[C][O])(O[C]=O)O[C]=O,[C]1=C[CH]N(CCCCCCN2[CH]C=[C]C=C2)C=C1,4,2,[U]([O])[O],C(=O)([O])C1=C[CH]N(CCCCCCN2[CH]C=C(C=C2)C(=O)[O])C=C1,1,0.3748,811.181,1230.3,9.56579,10.7969,10.75533
JESDUG06,Cu,3,[Cu]Br,C(#N)NC#N,2,2,[Cu]Br,C(#N)NC#N,1,0.7848,247.304,2561,26.54683,26.84347,26.84347
XEQMOX,Rh,6,[Rh]([Rh](Cl)([C][O])([C][O])Cl)([C][O])[C][O],n1c2c(ccc3c2nccc3)ccc1,2,2,[Rh]([Rh](Cl)([C][O])([C][O])Cl)([C][O])[C][O],n1c2c(ccc3c2nccc3)ccc1,1,0.4622,336.272,811.988,10.53701,11.86895,11.86895
BOKJES01,Cd,8,[Cd]12(O[C]O1)O[C]O2,[CH2]n1c(nc2ccccc12)C,4,2,[Cd],C(=O)(Cn1c(nc2ccccc12)C)[O],1,0.7394,783.772,5779.5,25.58579,26.28047,26.28047
UGUKOX,Zn,5,[Zn](OP(O[Zn@](O[P][O])(O[C]=O)[O])[O])(O[C]O[Li])[O].[Li][O].[O].[Zn](O[C])O[P]O[Zn](O[P]O[Li])O[C]O[Li],[C]1=CC=[C]C=C1,12,3,[Zn][Li],[O]P(=O)([O])c1ccc(cc1)C(=O)[O],0,0,0,0,1.05039,1.99157,1.88701
GUQLOW,Zn,6,[Zn],C12=N/C(=C(\C3=CC=C(/C(=C\4/C=CC(=N4)/C(=C/4\[N]/C(=C\1/c1ccncc1)/C=C4)/c1ccncc1)/c1ccncc1)[N]3)/c1ccncc1)/C=C2,6,6,[Zn],C12=N/C(=C(\C3=CC=C(/C(=C\4/C=CC(=N4)/C(=C/4\[N]/C(=C\1/c1ccncc1)/C=C4)/c1ccncc1)/c1ccncc1)[N]3)/c1ccncc1)/C=C2,3,0.0256,539.978,224.795,5.29045,7.2307,7.22949
YUBFUX,Zn,5,[Zn](F)F.[Zn].F[Zn],N1=C(C)N=C(C)[N]1,9,3,[Zn](F)F.[Zn].F[Zn],N1=C(C)N=C(C)[N]1,0,0,0,0,3.63945,4.94895,4.94895
DONHUL,Ag,6,[Ag](O[N][O])([Ag](O[N][O])[Ag]O[N][O])[Ag],n1ccc(cc1)C(=O)Oc1c(OC(=O)c2ccncc2)cc2c(cccc2)c1,8,2,[Ag](O[N][O])([Ag](O[N][O])[Ag]O[N][O])[Ag],n1ccc(cc1)C(=O)Oc1c(OC(=O)c2ccncc2)cc2c(cccc2)c1,1,0.2604,674.491,1102.54,7.51367,9.21891,9.21891
BIXVIQ,Cu,4,[Cu],N1=NC=C([N]1)c1cc(cc(c1)C1=CN=N[N]1)C1=NN=N[CH]1,4,6,[Cu],N1=NC=C([N]1)c1cc(cc(c1)C1=CN=N[N]1)C1=NN=N[CH]1,1,0.2972,6441.25,15120,9.77251,15.56465,15.56465
HIBDUR,Li,4,[Li][O].[O].[O].[O],[C]1CC[C]N1,4,2,[Li],O=C1CCC(=O)N1,1,0.5636,159.309,664.353,13.95964,14.68421,14.68421
YAVBOM,Pr,17,[Pr]123(O[C]O[Pr](O[C]O1)(O[C]O2)(O[C](O3)C)(O[C]=O)[O])(O[C])O[C]=O.[Pr](O[C]O[Pr@](O[C])([O])O[C]=O)(OC(=O)C)([O])(O[C])(O[C]=O)O[C]=O.[Cs].[Cs],[CH3],16,1,[Pr]O[C]C.[Pr]O[C](C)O[Pr].[Cs].[Cs][Pr][O],[O]C(=O)C,0,0,0,0,1.03213,2.66183,2.64085
XUCYEC02,Cu,3,[Cu],n1nc([nH]n1)c1ccnc(F)c1,3,3,[Cu],n1nc([nH]n1)c1ccnc(F)c1,1,0.0724,232.463,95.5627,4.94563,5.97318,5.97318
IVAFUG,Cu,5,[Cu](O[C]OCC)Cl,[CH2][N]C(=S)n1c2C[C@@H]3[C@H](c2c(n1)C)C3(C)C,4,4,[Cu]Cl,O=C(OCC)C[N]C(=S)n1c2C[C@@H]3[C@H](c2c(n1)C)C3(C)C,1,0.108,171.429,93.5668,5.37389,6.49399,6.49399
RADZED,Ho,14,[Ho]12(O[C]=O)O[C]O[Ag]O[C]O[Ho](O[C])(O[C])(O[C]O[Ag]O[C]O[Ag]3(O[C]O[Ag](O[C]=O)O[C]O2)([Ag](O[Ag]O[Ag]2[Ag]O[C]O2)O[C]O3)[O])(O[C]O[Ag]O[C])O[C]O[Ag]O[C]O1,[C]1=CC=CC=[C]1,16,2,[Ho]([Ag])[Ag].[Ag].[Ag].[Ag],O=C([O])c1c(C(=O)[O])cccc1,0,0,0,0,1.05291,2.56517,2.40376
WILFAZ,Ag,5,[Ag],n1cc2cnncc2cn1,5,4,[Ag],n1cc2cnncc2cn1,0,0,0,0,3.57095,4.54861,4.54861
YAKFIZ,Cu,5,[Cu](Cl)[Cu]Cl,S1c2ccc(SCCSCCCSCC1)nn2,4,2,[Cu](Cl)[Cu]Cl,S1c2ccc(SCCSCCCSCC1)nn2,0,0,0,0,0.94831,2.0703,2.05165
PATROT,Cd,12,[Cd]12(O[C]=O)(O[C]O1)(O[C]O2)O[C]O[Na].[Na].O,[C]1=C(C=CC=C1)c1ccc(cc1)COC1=CC=C[C]=C1,4,2,[Cd][Na].[Na].O,O=C([O])c1cc(OCc2ccc(c3c(C(=O)[O])cccc3)cc2)ccc1,1,0.2964,272.576,555.339,9.18009,10.2681,9.68977
LIQFEY,Cd,6,[Cd]12(O[C]O[Cd]3(O[C]=O)(O[C]O1)O[C]O3)O[C]O[Cd]1(O[C]=O)(O[C]O1)O[C]O2,[C]1=CC(=C[C]=C1)C#CC1=C[C]=C[C]=C1,8,4,[Cd],[O]C(=O)c1cc(C#Cc2cc(C(=O)[O])cc(c2)C(=O)[O])cc(c1)C(=O)[O],0,0,0,0,3.68423,4.92895,4.92895
COXKUW,Li,5,[Li]O[C]O.[O][C]=O.[Li]O[C]O.[O][C]=O,[C]1=CC=C[C]=C1,4,2,[Li][Li],O=C(O)c1cccc(C(=O)[O])c1,0,0,0,0,0.65027,1.30364,1.20922
NAPTEE,Cd,4,[Cd](I)I,n1ccn(C)c1[C]1[N]C=CN1C,2,2,[Cd](I)I,n1ccn(C)c1[C]1[N]C=CN1C,1,0.5096,241.016,673.446,11.47682,12.10509,12.10509
PEJNOJ,Zn,4,[Zn](O[C]=O)(O[C]=O)(O[C]=O)O[C]=O,[C]1=C[C]=C[C]=C1,4,3,[Zn],O=C([O])c1cc(C(=O)[O])cc(C(=O)[O])c1,1,0.1368,1994.47,1163.61,5.51492,5.97208,5.97208
ILINEY,Ni,6,[Ni],c1cccc(C2=NN=C([N]2)c2ccncc2)n1,6,3,[Ni],c1cccc(C2=NN=C([N]2)c2ccncc2)n1,0,0,0,0,1.18107,3.01508,3.01508
EQUCUO02,Fe,6,[Fe],n1nnn(CCCCn2nnnc2)c1,6,2,[Fe],n1nnn(CCCCn2nnnc2)c1,0,0,0,0,1.67262,4.72614,4.72614
QOTZOP,Zn,4,[C]O[Zn](O[C]O[Zn](O[C]=O)[O])(O[C])[O],[CH]1CCCC[CH]1,4,2,[Zn],[C@H]1(CCCC[C@H]1C(=O)[O])C(=O)[O],1,0.3396,79.0317,285.388,12.40898,12.52877,12.52877
KUWBIO,Mo,11,[Mo]1234(O[Mo]567(O[Mo]8([O])(O[Mo]9%10%11(O[Mo]%12%13(O[Mo]%14%15(O[Si]%16%17(OO%17)(O1)OO%16)(O[Mo](O[Cu]1O[Mo]%16%17(O[Mo@@]%18(O[Cu]O[Mo@](O%18)(O[Cu]O[Mo@@]%18(O[Mo]%19([O])(O[Mo@@](O[Cu]O%16)(O[Cu]O%19)O%18)O1)[O])O%17)[O])[O])(O8)(O%11)O[Mo](O6)([O])(O[Mo]1(O[Mo](O[Cu]([O])[O])(O[Mo](O%12)(O%10)(O3)[O])(O[Mo]([O])(O1)(O%13)O%14)O4)([O])(O5)O7)O%15)[O])(O9)[O])[O])O2)[O])[O],n1ccccc1c1ccccn1,12,2,[Mo]1234(O[Mo]567(O[Mo]8([O])(O[Mo]9%10%11(O[Mo]%12%13(O[Mo]%14%15(O[Si]%16%17(OO%17)(O1)OO%16)(O[Mo](O[Cu]1O[Mo]%16%17(O[Mo@@]%18(O[Cu]O[Mo@](O%18)(O[Cu]O[Mo@@]%18(O[Mo]%19([O])(O[Mo@@](O[Cu]O%16)(O[Cu]O%19)O%18)O1)[O])O%17)[O])[O])(O8)(O%11)O[Mo](O6)([O])(O[Mo]1(O[Mo](O[Cu]([O])[O])(O[Mo](O%12)(O%10)(O3)[O])(O[Mo]([O])(O1)(O%13)O%14)O4)([O])(O5)O7)O%15)[O])(O9)[O])[O])O2)[O])[O],n1ccccc1c1ccccn1,1,0.2082,788.949,1004.96,8.73443,9.70386,9.70386
INICPB02,Pb,5,[C](=O)O[Pb].O=[C].[O].[O][C]=O.[Pb].[O].[C].[O],[C]1=CC=NC=C1,6,1,[Pb],C(=O)(c1ccncc1)[O],0,0,0,0,1.14728,2.26869,2.25124
