seed,best_fitness,final_fitness,runtime,diversity,top_mofs,fitness_history
0,0.6568989201877934,0.6568989201877934,0.278717041015625,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
1,0.6568989201877934,0.6568989201877934,0.27123260498046875,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
2,0.6568989201877934,0.6568989201877934,0.2710001468658447,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
3,0.6568989201877934,0.6568989201877934,0.27157115936279297,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
4,0.6568989201877934,0.6568989201877934,0.27361416816711426,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
5,0.6568989201877934,0.6568989201877934,0.26857900619506836,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
6,0.6568989201877934,0.6568989201877934,0.27199268341064453,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
7,0.6568989201877934,0.6568989201877934,0.2699320316314697,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
8,0.6568989201877934,0.6568989201877934,0.272036075592041,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
9,0.6568989201877934,0.6568989201877934,0.274169921875,0.0,"['PACJAH', 'DAXBEM', 'TEDXAC', 'ZUBRAR', 'MIBMER']","[0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934, 0.6568989201877934]"
