seed,best_fitness,final_fitness,runtime,diversity,top_mofs,fitness_history
0,0.6683281140706692,0.6683281140706692,4.170966863632202,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.4968635379691463, 0.5410285218403196, 0.55715551368556, 0.5948100592062581, 0.6609789532092493, 0.6386193152205568, 0.6521317975216386, 0.6394307145359323, 0.6649289957501225, 0.6636848226446199, 0.6643347783023109, 0.663819709805407, 0.6647083629202558, 0.6633738154664257, 0.6616836228981682, 0.6618587305664765, 0.6633738154664257, 0.6519002295223385, 0.6529056251984646, 0.6667874248350455, 0.6649853971810568, 0.6650991281427137, 0.6557232594838205, 0.6646739719269126, 0.6636736947072235, 0.66487197785566, 0.6654418833830436, 0.6668753843313071, 0.6662173822864143, 0.6643329933695212, 0.6638928739530475, 0.6641670429005271, 0.6659301858944628, 0.6650262522947501, 0.664663103476495, 0.666447751620565, 0.6647994873556746, 0.6674909278577308, 0.6683281140706692, 0.667759984601438, 0.6668923161087774, 0.6680442084171696, 0.6651386323964265, 0.6653383244321587, 0.6648217227982675, 0.6651166674229764, 0.6646345348648506, 0.664876631940059, 0.6646345348648506, 0.6647089057938795, 0.664736272627764, 0.6657857279948444, 0.665877855502088, 0.6653049693462837, 0.656488922780355, 0.6651743047270984, 0.666778558805643, 0.6652956280241525, 0.6659275783531176, 0.6655866666586681, 0.6558735303111365, 0.6662619327160756, 0.667296606404413, 0.656756770484103, 0.6667366012212013, 0.6661820887969084, 0.6662491152989486, 0.6663913653828881, 0.6671756808650964, 0.6668320589326444, 0.6667892234786816, 0.6664780390836199, 0.6669076963847386, 0.6654443976364492, 0.6667422203823269, 0.6666483720985095, 0.6648879046399281, 0.6679492539327204, 0.6657260917167837, 0.6642745433168257, 0.6658531644635565, 0.6659151773483527, 0.6642649023820653, 0.6643564632478026, 0.665389410137813, 0.6654034745276314, 0.6657148356520122, 0.6646867082780888, 0.6662982642196131, 0.6656464358278009, 0.6649262405585559, 0.6666271774157231, 0.655492264980196, 0.6664374363630873, 0.6651123989518537, 0.6651893686854667, 0.6657680601066918, 0.6667047758225624, 0.6642642666468156, 0.6667047758225624]"
1,0.6819086509186352,0.6819086509186352,4.1766180992126465,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.6819086509186352, 0.6540463700759154, 0.6520391474782633, 0.6557470260611423, 0.6641005020098023, 0.6675391292550384, 0.656439438944565, 0.665337466613779, 0.6655015688124226, 0.6666009047856354, 0.6654686026569077, 0.6604977222082833, 0.6624295343290255, 0.6680929596746058, 0.6667291491039024, 0.6650021348730069, 0.6654752904188009, 0.6652480992041734, 0.6650355969049238, 0.6653436870030478, 0.6649588863652091, 0.6653766962323886, 0.6691239424462081, 0.6658902455228849, 0.6562162016237917, 0.6651835297082632, 0.6668070076473489, 0.6567605118141424, 0.6668931043440165, 0.6561553214093704, 0.6669388573631707, 0.6565131914150681, 0.6667522560541522, 0.6664423636275532, 0.666950704257576, 0.664793689224283, 0.667315334631154, 0.6572977554865626, 0.6658433117313528, 0.6664089381658339, 0.6543490599186451, 0.6663687113432692, 0.6663097414138616, 0.6561855565115464, 0.6659296376880575, 0.6659600915851889, 0.6679340237216731, 0.6665746147636479, 0.6671182472532795, 0.6679639980653954, 0.6654545490170516, 0.6664252549715298, 0.6657484598540093, 0.6675540768025124, 0.6661867996234395, 0.6675540768025124, 0.667223307474795, 0.6661464539822127, 0.6671134389124614, 0.667498182493307, 0.667804114785776, 0.6557154250198477, 0.6678664414414566, 0.6668605293152546, 0.6670190374856152, 0.668365831758848, 0.6679858963588924, 0.6656435581503546, 0.6574629906254946, 0.656233445790804, 0.6669051109711746, 0.6659875114808823, 0.6679865402625621, 0.6659249392745558, 0.6663823608143692, 0.6671097111259675, 0.6659658867735777, 0.6687280992018104, 0.6687484132492935, 0.6657367854447794, 0.6675044164375675, 0.6658814517540825, 0.6679763951311064, 0.6665344745141865, 0.6658385058347744, 0.6658323865985994, 0.6661300563427625, 0.6672094835594923, 0.6672094835594923, 0.6666306331218558, 0.6666306331218558, 0.6666306331218558, 0.6671955001261891, 0.6594226283695095, 0.6677227382220127, 0.6686809041758778, 0.6668253198777978, 0.6664057549649246, 0.6661527761888779, 0.6673643588769642]"
2,0.6700951083621811,0.6700951083621811,4.1613359451293945,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.6592535940507437, 0.6418833415233118, 0.6537407228059678, 0.6418695561001997, 0.6639820204823411, 0.6612907708263486, 0.6656302255326937, 0.6688510142419228, 0.6686095799006758, 0.6700951083621811, 0.6679297359355255, 0.6672900266744995, 0.6677425326502681, 0.6678371437135342, 0.6577936196776998, 0.6690880801414455, 0.6671979543998725, 0.658936631459396, 0.657940080645473, 0.667131800191816, 0.6692201053986331, 0.667422965321084, 0.6667400657049284, 0.6665684049643199, 0.6686949659395784, 0.6682998336311262, 0.6569468640132875, 0.6673262801214963, 0.6583535878859003, 0.6667850512460127, 0.6584020713642716, 0.6581407383084561, 0.6462848065444623, 0.6681191151488545, 0.6684310592767644, 0.6572575871282733, 0.6573991303872891, 0.6684310592767644, 0.6598853375995308, 0.668686208467928, 0.6689244205641115, 0.6676247736335135, 0.6587333947075598, 0.6678438477196723, 0.6570327111575209, 0.6570805346531526, 0.668027044084467, 0.6681777781013856, 0.6682748448667678, 0.6682105197532555, 0.6682275371675559, 0.6578762059513811, 0.6687226463000787, 0.6690281336995965, 0.6677489719722418, 0.6677489719722418, 0.6692451087575124, 0.6687427186450783, 0.6687175867925826, 0.6679538852594993, 0.6688445556595316, 0.6678985584796358, 0.6687247178575958, 0.6687759385719129, 0.6686596160929948, 0.668989162307414, 0.6680372739790125, 0.6685475064070249, 0.6674087368919863, 0.6679342843442131, 0.6673636643448158, 0.6691538134189168, 0.6571444489797882, 0.6680656962178326, 0.6665545613393388, 0.6568356341267354, 0.6653879442941493, 0.6679366030371479, 0.6669036414559648, 0.659255779139441, 0.6672874112343334, 0.6677586273449987, 0.6681254410953302, 0.6685275783930991, 0.6680638982835722, 0.6671109921213967, 0.6668706125249284, 0.6679659154213662, 0.6679914929086626, 0.6666073210487504, 0.6668134113301017, 0.668828204202917, 0.6689967887395255, 0.6682651441913983, 0.6686726311162422, 0.6681427326491255, 0.6675542255632927, 0.667806428815053, 0.668677837565932, 0.6686299715821346]"
3,0.6674550586318361,0.6674550586318361,4.182816982269287,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.5934243742560349, 0.6673164450027504, 0.6359849460291234, 0.6463745045037569, 0.6560015478383043, 0.64664793803445, 0.6575196100975342, 0.6566086894026214, 0.6558802943376434, 0.6482037427836632, 0.6661965758772416, 0.66306389077234, 0.6551459715860497, 0.6643215669370385, 0.6528972531674587, 0.6514873337662148, 0.6648502895538481, 0.6540525917376229, 0.6538700516089111, 0.6625507389302332, 0.6623613999494051, 0.6621711063604597, 0.6627614532778879, 0.663958138332874, 0.6629717053015531, 0.6616062119837343, 0.6535058312567956, 0.6622412727121458, 0.6628309812918611, 0.6560837155915856, 0.6647289914419944, 0.6640357811082501, 0.6644469068498166, 0.6657931829283958, 0.6649141496856731, 0.6634388828594476, 0.6632626531391698, 0.6645104050812858, 0.6642529812858395, 0.6645339323538945, 0.6643451444584499, 0.6629459945940623, 0.6642827260440332, 0.6638885009450309, 0.6649496843915089, 0.6651289627391095, 0.6646204888279352, 0.6647313141137857, 0.6652431616869124, 0.654119404197746, 0.6653886244173345, 0.6644961419410591, 0.6646917571356675, 0.6636835356734704, 0.6631450493724038, 0.6650101740249283, 0.6636438232496795, 0.6636835356734704, 0.664941304301256, 0.6650100649463784, 0.6660025395084541, 0.6670380901914625, 0.6656946867813308, 0.6656886431185103, 0.6647438865091655, 0.664960555656595, 0.664090383990165, 0.664090383990165, 0.664090383990165, 0.6644409429227763, 0.6639672763291292, 0.6644047166995197, 0.6560899612427333, 0.6651105724716738, 0.6651105724716738, 0.6641432933166146, 0.6639213586362636, 0.6665372190305056, 0.664278754014374, 0.6647262762169559, 0.665209219282413, 0.6639786410857454, 0.6650229406457526, 0.6544746353538858, 0.6561491559387694, 0.6558211807616925, 0.6662212747756505, 0.6657167466400121, 0.6657167466400121, 0.6674550586318361, 0.6655823867915225, 0.6660298189243041, 0.6655823867915225, 0.6655790274433719, 0.6643590434147466, 0.6656451901499756, 0.6657738792583179, 0.6662869032821988, 0.6646915769222634, 0.66617752584702]"
4,0.6654663078359836,0.6654663078359836,4.183521032333374,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.6417798160758075, 0.6299474173398278, 0.6245850517189889, 0.6471935695883669, 0.6273091977534593, 0.6329348090210192, 0.6276057468515809, 0.6439101621141434, 0.6432779037200079, 0.6264438186257142, 0.6530474108103254, 0.6563974287399779, 0.6435354656990707, 0.6539625567201757, 0.6552883038089564, 0.6554134151568933, 0.653097414670125, 0.6520399324411373, 0.6541707335495797, 0.6527652744302475, 0.6527652744302475, 0.6546199003224963, 0.653538065850218, 0.6522411861962699, 0.6543741216967873, 0.6518384698000175, 0.6523187192545686, 0.6451186149378456, 0.654153565232074, 0.6536584979915611, 0.6539145680761599, 0.6528389904411993, 0.6542306275957136, 0.6518799790634684, 0.6441970777563735, 0.6558050168792495, 0.6549428225143828, 0.6540441208827441, 0.6540768000902203, 0.6532833970865252, 0.6541986207856493, 0.652394983785969, 0.6538279151834601, 0.6547408982226331, 0.6540163644827145, 0.6526317118340321, 0.6554636614872648, 0.6546301222688551, 0.6546772800871802, 0.6546592151300201, 0.6550013097805216, 0.6549498058651309, 0.65468238968702, 0.6550880060128013, 0.6556437786735416, 0.6541086279821805, 0.6537041663613281, 0.6539143162057134, 0.6547982266217485, 0.6432460222112749, 0.642981608095133, 0.6547465895832012, 0.6549823861938844, 0.6565616113630899, 0.6543462604852507, 0.6540826073926996, 0.6451950357124806, 0.645005404847388, 0.6545803302934237, 0.6522951296507649, 0.6548207964783153, 0.6572567557280972, 0.6634873829451767, 0.6619738909934455, 0.661918780929093, 0.6593724009589712, 0.64857855094594, 0.661031238683735, 0.6601621329830004, 0.6654663078359836, 0.6605029577794855, 0.6611478742944752, 0.6618369461697613, 0.6498225587928224, 0.6616499792339738, 0.653604166900616, 0.6611141772631017, 0.6613797788808403, 0.6568016756508968, 0.6654448607958281, 0.654007604953584, 0.656285692986331, 0.6632367604537037, 0.6620427025606274, 0.6612983732145555, 0.655824442700158, 0.6628364906807414, 0.6642851495666483, 0.6628485513537756, 0.6650291262103212]"
5,0.6675997700045229,0.6675997700045229,4.156566858291626,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.6108981522309711, 0.6184935555137998, 0.613007562248547, 0.6344295542513051, 0.6432367298563794, 0.6421993326974349, 0.6358257096181293, 0.6437404826556365, 0.6357613496433256, 0.650204638837154, 0.6334785038479177, 0.6455248034629866, 0.6371752743733239, 0.6455994365582504, 0.6632844302434293, 0.6511441489816212, 0.6621104176388152, 0.6482471616106831, 0.65968852802487, 0.6576824901804857, 0.6624314979154386, 0.655214168159175, 0.6551868555249172, 0.6646242805187256, 0.6639563480382487, 0.6619740049310964, 0.6508550919070136, 0.6527408898839562, 0.6641771103333327, 0.6627094317105324, 0.6638400026010567, 0.6646114355750599, 0.6634927326434583, 0.6560011365269971, 0.6640423372221956, 0.6641680325417857, 0.6639361548995488, 0.6559316562336682, 0.6608443161111186, 0.6634698241358508, 0.6666684796849396, 0.6664384142255086, 0.6662379541086544, 0.6641669882411423, 0.6636557905414883, 0.6636067208439046, 0.6640556844669834, 0.6629939380573153, 0.6644773497619092, 0.667391320359681, 0.6639564777617917, 0.66292660283131, 0.6554856451873767, 0.6627394672078663, 0.6630554365612688, 0.6649737522225353, 0.6628204948463079, 0.6534103824867573, 0.6631777453581313, 0.6627959294239737, 0.6628124898155107, 0.6537676329985807, 0.6530626754627132, 0.6660047672288947, 0.6512871951439755, 0.6648259620366134, 0.6642463382752756, 0.6633970321276198, 0.6647081064399673, 0.6568546361069304, 0.6667595635918155, 0.6639575708609656, 0.6663791847490638, 0.6661926265743578, 0.6647659598277924, 0.6645865172484497, 0.6639379481617755, 0.6639336958882454, 0.6658736493023719, 0.6643414795156419, 0.6643414795156419, 0.6666881703806725, 0.6647214679525306, 0.6664001576630574, 0.6650007322483492, 0.6653619107236723, 0.663541590191066, 0.6664001576630574, 0.6637200544388232, 0.656196428454747, 0.6660937547591713, 0.6660937547591713, 0.6565485059875444, 0.6631499815674461, 0.6643356441249418, 0.6669246034575328, 0.6654553965992261, 0.6656417533202136, 0.6675997700045229, 0.6652163282266704]"
6,0.6683842996602113,0.6683842996602113,4.160679340362549,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.590044365704287, 0.5954350996232121, 0.6133523316570807, 0.6427930508581295, 0.6519865487181202, 0.6534613029351777, 0.6555310963149534, 0.652699635549542, 0.649696442230259, 0.6620795989754555, 0.663923808933594, 0.6622161385054616, 0.6683842996602113, 0.6648357624640804, 0.6645260634795589, 0.6661648978026519, 0.6549428505894709, 0.6550586190039465, 0.6555413367232747, 0.6652287674787141, 0.6657485333877979, 0.6647962060989795, 0.6571082930995024, 0.6664983784886681, 0.6576451161624061, 0.6656104621738672, 0.667477784338379, 0.6567346407682335, 0.6665910654530033, 0.6666737905048026, 0.6561513166897013, 0.6657712695331586, 0.6654494313651319, 0.6668247312253093, 0.6652570901664606, 0.6652570901664606, 0.6663497434156097, 0.6647653053600421, 0.6669729525584984, 0.6660841981684763, 0.6672515820678823, 0.6652017532758442, 0.6639341337365902, 0.6635485166304935, 0.6645120646592731, 0.6649608283466494, 0.6546902621410597, 0.6644928109149626, 0.6651827213304122, 0.6636949546138529, 0.6647660087746882, 0.6655707095105183, 0.6670820925192835, 0.6631475677886103, 0.6655551003335031, 0.6628758673625477, 0.6637405408406332, 0.6652638197552065, 0.6629401481777719, 0.6629401481777719, 0.6629401481777719, 0.6644491760257437, 0.6552617495299086, 0.6556821414809569, 0.6666035780253365, 0.6650922538405075, 0.664990669933703, 0.6649193665463329, 0.6661238432490015, 0.665181612884229, 0.6649959363804837, 0.6667211646327916, 0.6636030028227066, 0.6658187164065744, 0.6660038328999677, 0.6662480405632683, 0.6652948108371787, 0.6664530923763353, 0.6664530923763353, 0.6662804347612837, 0.6663439206190194, 0.6651044232231715, 0.6651044232231715, 0.6663813662846005, 0.656633787378888, 0.6673304468814425, 0.665458117081287, 0.6654058983524325, 0.6648535523638706, 0.6669456933082646, 0.6660336808312688, 0.665703118998777, 0.6646300758666219, 0.6571793893343217, 0.6651160773215293, 0.6550635276678983, 0.6665895016938723, 0.6662185507187784, 0.6666432315843911, 0.6570664980374891]"
7,0.6661605646344497,0.6661605646344497,4.15422511100769,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.5834202607174103, 0.6370289063589494, 0.65062305332291, 0.6404086480791297, 0.6553667789013077, 0.6528541702250936, 0.6556060074370935, 0.6611319744463797, 0.6635433183286212, 0.6649722650672115, 0.663529850959585, 0.663210377071794, 0.6610508499960354, 0.6657500666526894, 0.65454716990212, 0.6641027480892208, 0.6660194641234449, 0.6653168760903155, 0.6652053988076235, 0.6642407189690371, 0.6656835151998977, 0.6637855901482678, 0.6535598173136502, 0.6561093212006707, 0.6624870079688342, 0.6634476316128487, 0.6639054524500643, 0.6627213615744146, 0.6647274588148345, 0.6632164735951963, 0.6647607523104251, 0.6624652295102531, 0.663962895678088, 0.6646760136495354, 0.664670135094058, 0.6631359946012121, 0.6645996881385446, 0.6661085233428533, 0.6644044842404445, 0.6643551532311106, 0.6645594530905733, 0.6641357307529538, 0.6644394396511953, 0.6551299979589189, 0.6636511408029008, 0.6642954468127842, 0.6626577231430708, 0.6647434580178345, 0.6648686695081638, 0.6641689247877357, 0.6636644849267008, 0.6559140596835391, 0.665118558231246, 0.6565116908573191, 0.6533948832932198, 0.6574981640707759, 0.6636493400057318, 0.6650578658095028, 0.664374133353764, 0.6653695410770808, 0.6546403515643557, 0.6538015451994132, 0.6542401216899981, 0.664040332896348, 0.6648721047668936, 0.6648703875057267, 0.6643559286755608, 0.665743431829622, 0.6658705600768228, 0.6641765887045019, 0.6661094891064337, 0.6647649058502282, 0.6642495045078108, 0.6540577054254183, 0.6643148763454858, 0.664102807790003, 0.6640954538913671, 0.6630889492622282, 0.6652788384237106, 0.6648246343067594, 0.6639816112644081, 0.6639694499291949, 0.6657017421355349, 0.6625247705827637, 0.6643975345081498, 0.6661605646344497, 0.6651101963458727, 0.6639789516769443, 0.665264022651601, 0.6643022613238148, 0.6657806137862289, 0.6632098596686121, 0.6644115032872806, 0.6635974210565344, 0.6653359003824503, 0.6653042824456121, 0.6651912948843182, 0.6635611113010018, 0.6638560052297793, 0.664521126386812]"
8,0.6591992611051001,0.6591992611051001,4.173250198364258,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.5336203375106281, 0.6352670279877707, 0.647298635653678, 0.6446660851507707, 0.6440196803838614, 0.6468430712234788, 0.644026067874746, 0.6445712791720702, 0.6354930477301425, 0.6471242369567537, 0.6476757863676443, 0.655929708622663, 0.6452392669855167, 0.6459940572158975, 0.6451880470771423, 0.6452327127664791, 0.6549490432904288, 0.6548759979562501, 0.6453382484612822, 0.6578973978987158, 0.6552864960266332, 0.6555831400865226, 0.6467388631128855, 0.6537051565945391, 0.6539410557685867, 0.6541459610124931, 0.6540644927151347, 0.6555578466627487, 0.6545375311875667, 0.6545729191607724, 0.6545375311875667, 0.6552233343874201, 0.654250122935965, 0.6545438270225368, 0.6541420484540041, 0.6544285388735231, 0.6550015238031088, 0.6539642218564552, 0.654111527809326, 0.6562720604201573, 0.6548428885627772, 0.6473395891711697, 0.6542819959296993, 0.6546351264828488, 0.6452219504720853, 0.6546320628316358, 0.6548694806624491, 0.6462660034046633, 0.6553972893897191, 0.6561841432029376, 0.6554175426806149, 0.6555038032029293, 0.6556051275014442, 0.6571450517910294, 0.6548042098953265, 0.6564213683145675, 0.6553889058780291, 0.653989773472121, 0.6426525641697953, 0.6545988600944685, 0.6540095226683451, 0.65508772283224, 0.659066195353997, 0.6558775604857442, 0.655873765926056, 0.6575130526004401, 0.6570326639840516, 0.6564194498572637, 0.6558882650187946, 0.6568410145111491, 0.6559309052944364, 0.6566916163548935, 0.6566882317358397, 0.6575890479222649, 0.6563684460744048, 0.656222670466234, 0.6591992611051001, 0.6564577393590892, 0.6577181616250949, 0.6563509728852561, 0.6564466572206391, 0.6564020962057623, 0.6562817913948644, 0.646871679035314, 0.6470131207751602, 0.6564493652928516, 0.6570065992401336, 0.6574531236218758, 0.6567184843685674, 0.6574531236218758, 0.6574768453028165, 0.6573441236948439, 0.6574281191989032, 0.657837052108571, 0.6585063608055437, 0.6573656593280209, 0.6571350006974092, 0.6570988242698621, 0.6580794157798815, 0.6577363946368626]"
9,0.667499236615486,0.667499236615486,4.169312953948975,0.0,"['ILINEY', 'ILINEY', 'ILINEY', 'ILINEY', 'ILINEY']","[0.5770382887139107, 0.640907284943398, 0.6547849072499304, 0.6653431652953038, 0.6542186438686228, 0.662017224295952, 0.6620973811116888, 0.6654189924981814, 0.6613449763883211, 0.6614570784407436, 0.6627860552676664, 0.6619420741181427, 0.6668186319280646, 0.6666641502753278, 0.6652212935534191, 0.6663009206788983, 0.66425899580092, 0.666434539004575, 0.6652900790970139, 0.6649726963505506, 0.6667911661382437, 0.6642153579835893, 0.6645671085137869, 0.6664693834682397, 0.6654977845377464, 0.6644986278863522, 0.6643184854026772, 0.6640317286239522, 0.6646724674292172, 0.6639077057015743, 0.6657074264324179, 0.6654945880023164, 0.6657194966362379, 0.6672488682003486, 0.6644548635435452, 0.6654985898306518, 0.6643213294710184, 0.665412667651819, 0.6663481081617773, 0.6641309553597783, 0.6662555791815524, 0.6666128266388197, 0.6642032493333218, 0.6639179906923409, 0.6639221568087568, 0.6566834597447228, 0.6643603457742413, 0.6670955885804538, 0.665656832435975, 0.664176097680574, 0.6643732124009141, 0.6648800449632427, 0.6650103182922255, 0.6663534098458674, 0.665972171914685, 0.665964755162888, 0.6673871678787439, 0.6664818896165058, 0.6534446242102321, 0.6649023983391125, 0.6643768833789105, 0.6643750785010885, 0.666118206792779, 0.6659103980371697, 0.6654828034126811, 0.6661891783194673, 0.6643207606468255, 0.6667836721730108, 0.6663583632380666, 0.665849762429899, 0.6660521305418495, 0.6654808109744351, 0.6660778842391445, 0.6647866695999549, 0.6663922424395651, 0.6652965980690588, 0.6658936860871105, 0.6659035172972431, 0.6567641577326777, 0.6661388547017831, 0.654613610492791, 0.6661526105270815, 0.658168176354383, 0.646720197327381, 0.667499236615486, 0.6639993296764031, 0.6364993296764031, 0.6539124104211087, 0.6451007275184285, 0.6653573239239327, 0.6565432865053028, 0.6559680243179751, 0.6552272216307945, 0.6543424778725592, 0.6564162014821159, 0.6647365854157211, 0.6652814833083434, 0.6646204478981733, 0.6646204478981733, 0.6663645215875167]"
