seed,best_fitness,final_fitness,runtime,diversity,top_mofs,fitness_history
0,0.6873982180976036,0.6873982180976036,3.464116096496582,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6341226641991555, 0.6341226641991555, 0.6433052830138071, 0.6433052830138071, 0.6446293547633772, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.6691055413014976, 0.669768757446274, 0.669768757446274, 0.669768757446274, 0.669768757446274, 0.669768757446274, 0.6736576600173919, 0.6753373483401349, 0.6753373483401349, 0.6753373483401349, 0.6753373483401349, 0.6753373483401349, 0.6753373483401349, 0.6753373483401349, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6761590359471056, 0.6817668205128484, 0.6817668205128484, 0.6817668205128484, 0.6835884383315688, 0.6835884383315688, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036, 0.6873982180976036]"
1,0.6874999945315212,0.6874999945315212,3.477519989013672,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6241909453692496, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6846501446094548, 0.6850258426312589, 0.6850258426312589, 0.6850258426312589, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.6871385017200141, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.687219388086157, 0.6873484484344706, 0.6873484484344706, 0.6873484484344706, 0.6873881156486946, 0.6874558904780693, 0.6874966671413684, 0.6874966671413684, 0.6874966671413684, 0.6874966671413684, 0.6874966671413684, 0.6874985437345332, 0.6874985437345332, 0.687498838051087, 0.687498838051087, 0.687498838051087, 0.687498838051087, 0.687498838051087, 0.6874996005635196, 0.6874996005635196, 0.6874996005635196, 0.6874996005635196, 0.6874996005635196, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212, 0.6874999945315212]"
2,0.6874616976415459,0.6874616976415459,3.4753851890563965,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6189645612978388, 0.6571869817185081, 0.6571869817185081, 0.6586956072617933, 0.6586956072617933, 0.6631817681162114, 0.6631817681162114, 0.6631817681162114, 0.6631817681162114, 0.6631817681162114, 0.6631817681162114, 0.6631817681162114, 0.6679316759205831, 0.6679316759205831, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6837515798864068, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6864955813098567, 0.6865984284663619, 0.6865984284663619, 0.6865984284663619, 0.6865984284663619, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6867387008736766, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6868403653603917, 0.6870201609058025, 0.6870201609058025, 0.6873225831946522, 0.6873225831946522, 0.6873225831946522, 0.6873225831946522, 0.6873225831946522, 0.6873225831946522, 0.6873225831946522, 0.6874616976415459, 0.6874616976415459, 0.6874616976415459, 0.6874616976415459, 0.6874616976415459]"
3,0.6871593632711984,0.6871593632711984,3.482024908065796,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6532768540021087, 0.6665537430062908, 0.6680615060603656, 0.6680615060603656, 0.6680615060603656, 0.6680615060603656, 0.6680615060603656, 0.6680615060603656, 0.6680615060603656, 0.6680615060603656, 0.6681255687673081, 0.6681255687673081, 0.6681255687673081, 0.6681255687673081, 0.6705004202506201, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6778598648953711, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6865679318811925, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984, 0.6871593632711984]"
4,0.6874974969239737,0.6874974969239737,3.47066593170166,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.525241171436299, 0.6174375431776676, 0.6174375431776676, 0.6512888065149497, 0.6512888065149497, 0.6566110300751915, 0.6625784154435362, 0.6625784154435362, 0.6625784154435362, 0.6625784154435362, 0.6625784154435362, 0.6625784154435362, 0.662811838708616, 0.662811838708616, 0.662811838708616, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.6861480735483615, 0.686312379732139, 0.686312379732139, 0.686312379732139, 0.686312379732139, 0.6864880141734212, 0.6864880141734212, 0.6864880141734212, 0.6864880141734212, 0.6866521180037333, 0.6866521180037333, 0.6866521180037333, 0.6866521180037333, 0.6868898976990164, 0.6872670243290677, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874689870298965, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874958817094019, 0.6874973692272116, 0.6874973692272116, 0.6874973692272116, 0.6874973692272116, 0.6874973692272116, 0.6874973692272116, 0.6874974969239737, 0.6874974969239737, 0.6874974969239737, 0.6874974969239737, 0.6874974969239737, 0.6874974969239737]"
5,0.6874792001622878,0.6874792001622878,3.464052200317383,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6339765313941511, 0.6455285839755388, 0.6536150207825102, 0.6548089804948634, 0.6636160853037872, 0.6636160853037872, 0.6636160853037872, 0.6636160853037872, 0.6720042697343666, 0.6720042697343666, 0.6720042697343666, 0.6720042697343666, 0.6720042697343666, 0.6720042697343666, 0.6720042697343666, 0.6749919859434662, 0.6749919859434662, 0.6749919859434662, 0.6749919859434662, 0.6749919859434662, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.678802347449751, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6834537586872911, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6870164519884959, 0.6872260783431959, 0.6872260783431959, 0.6872260783431959, 0.6872260783431959, 0.6872260783431959, 0.6872260783431959, 0.6872314701004245, 0.6872314701004245, 0.6872314701004245, 0.6872314701004245, 0.6872314701004245, 0.6873108215443072, 0.6873108215443072, 0.6873108215443072, 0.6874792001622878, 0.6874792001622878, 0.6874792001622878, 0.6874792001622878, 0.6874792001622878, 0.6874792001622878, 0.6874792001622878]"
6,0.6874576146205905,0.6874576146205905,3.465693235397339,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6521574285956883, 0.6521574285956883, 0.6521574285956883, 0.6521574285956883, 0.6521574285956883, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6659597882779849, 0.6691403099579791, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.677830403433616, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6871788999169494, 0.6873537033853124, 0.6873537033853124, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874051835085185, 0.6874066044683264, 0.6874066044683264, 0.6874066044683264, 0.6874066044683264, 0.6874066044683264, 0.6874066044683264, 0.6874066044683264, 0.6874066044683264, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905, 0.6874576146205905]"
7,0.6874936934207051,0.6874936934207051,3.463608980178833,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.657585593535006, 0.657585593535006, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6726180459420473, 0.6755052314479839, 0.6755052314479839, 0.6755052314479839, 0.6773386882274397, 0.6773386882274397, 0.6773386882274397, 0.679061803063938, 0.679061803063938, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6868693563105023, 0.6869901478238644, 0.6869901478238644, 0.6869901478238644, 0.6869901478238644, 0.6869901478238644, 0.6869901478238644, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871218859600388, 0.6871958365649068, 0.6871958365649068, 0.6871958365649068, 0.6871958365649068, 0.6871958365649068, 0.6871958365649068, 0.6871958365649068, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6872526449390858, 0.6873475619296772, 0.6873475619296772, 0.6874537082767626, 0.6874537082767626, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051, 0.6874936934207051]"
8,0.6874999903906883,0.6874999903906883,3.4686059951782227,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6002451474190255, 0.6767754493658726, 0.6767754493658726, 0.6767754493658726, 0.6767754493658726, 0.6767754493658726, 0.6767754493658726, 0.6767754493658726, 0.6767754493658726, 0.6862254257701691, 0.6862254257701691, 0.6862254257701691, 0.6862254257701691, 0.6869210256666035, 0.6869210256666035, 0.6869210256666035, 0.6869210256666035, 0.6869210256666035, 0.6869210256666035, 0.6869210256666035, 0.6869210256666035, 0.687388102711037, 0.687388102711037, 0.687388102711037, 0.687388102711037, 0.687388102711037, 0.68741319015373, 0.68741319015373, 0.68741319015373, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874809425063751, 0.6874845757712169, 0.6874898150711292, 0.6874898150711292, 0.6874945126133191, 0.6874945126133191, 0.6874945126133191, 0.6874945126133191, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874980280703368, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874988976615956, 0.6874998571962028, 0.6874998571962028, 0.687499960334926, 0.687499960334926, 0.687499960334926, 0.687499960334926, 0.687499960334926, 0.687499960334926, 0.687499960334926, 0.687499960334926, 0.6874999903906883, 0.6874999903906883]"
9,0.6874998565215478,0.6874998565215478,3.4661009311676025,0.0,"['ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII', 'ZOGBII']","[0.6404340417680066, 0.6486715869134673, 0.6576880156446597, 0.6576880156446597, 0.6576880156446597, 0.6679015940998706, 0.6679015940998706, 0.6713813256721829, 0.6713813256721829, 0.6713813256721829, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6816354895468484, 0.6865583130163103, 0.6865583130163103, 0.6865583130163103, 0.6865583130163103, 0.6865583130163103, 0.6865583130163103, 0.6865583130163103, 0.6867529892795059, 0.6867529892795059, 0.6867529892795059, 0.6867529892795059, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6872356261280433, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874881260643512, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874961118220816, 0.6874998565215478, 0.6874998565215478]"
